MOLENAME;TherapeuticIndication;TargetedRT;TargetedMZ;DrugPoolNumbers;EstimatedColonConcentrationMaier2018uM;SMILES;STATUS;TradeName;cas;iupacName;molArea;molCACO2;molFormula;molHALFLIFE;molHERG;molLD50;molLogP;molLogS;molPAINS;molPAMPA;molPGPINHIB;molPGPSUBST;molPSA;molVolume;molWeight;name;ref;salt_name;salt_smiles;smiles;source;Number_of_aliphatic_carboxylic_acids;Number_of_aliphatic_hydroxyl_groups;Number_of_aliphatic_hydroxyl_groups_excluding_tert_OH;Number_of_N_functional_groups_attached_to_aromatics;Number_of_Aromatic_carboxylic_acide;Number_of_aromatic_nitrogens;Number_of_aromatic_amines;Number_of_aromatic_hydroxyl_groups;Number_of_carboxylic_acids;Number_of_carboxylic_acids2;Number_of_carbonyl_O;Number_of_carbonyl_O__excluding_COOH;Number_of_thiocarbonyl;Number_of_C_OH_CCN_Ctert_alkyl_or_C_OH_CCNcyclic;Number_of_Imines;Number_of_Tertiary_amines;Number_of_Secondary_amines;Number_of_Primary_amines;Number_of_hydroxylamine_groups;Number_of_XCCNR_groups;Number_of_tert_alicyclic_amines;Number_of_H_pyrrole_nitrogens;Number_of_thiol_groups;Number_of_aldehydes;Number_of_alkyl_carbamates__subject_to_hydrolysis_;Number_of_alkyl_halides;Number_of_allylic_oxidation_sites_excluding_steroid_dienone;Number_of_amides;Number_of_amidine_groups;Number_of_anilines;Number_of_aryl_methyl_sites_for_hydroxylation;Number_of_azide_groups;Number_of_azo_groups;Number_of_barbiturate_groups;Number_of_benzene_rings;Number_of_benzodiazepines_with_no_additional_fused_rings;Bicyclic;Number_of_diazo_groups;Number_of_dihydropyridines;Number_of_epoxide_rings;Number_of_esters;Number_of_ether_oxygens__including_phenoxy_;Number_of_furan_rings;Number_of_guanidine_groups;Number_of_halogens;Number_of_hydrazine_groups;Number_of_hydrazone_groups;Number_of_imidazole_rings;Number_of_imide_groups;Number_of_isocyanates;Number_of_isothiocyanates;Number_of_ketones;Number_of_ketones_excluding_diaryl;Number_of_beta_lactams;Number_of_cyclic_esters__lactones_;Number_of_methoxy_groups__OCH3;Number_of_morpholine_rings;Number_of_nitriles;Number_of_nitro_groups;Number_of_nitro_benzene_ring_substituents;Number_of_non_ortho_nitro_benzene_ring_substituents;Number_of_nitroso_groups__excluding_NO2;Number_of_oxazole_rings;Number_of_oxime_groups;Number_of_para_hydroxylation_sites;Number_of_phenols;Number_of_phenolic_OH_excluding_ortho;Number_of_phosphoric_acid_groups;Number_of_phosphoric_ester_groups;Number_of_piperdine_rings;Number_of_piperzine_rings;Number_of_primary_amides;Number_of_primary_sulfonamides;Number_of_pyridine_rings;Number_of_quarternary_nitrogens;Number_of_thioether;Number_of_sulfonamides;Number_of_sulfone_groups;Number_of_terminal_acetylenes;Number_of_tetrazole_rings;Number_of_thiazole_rings;Number_of_thiocyanates;Number_of_thiophene_rings;Number_of_unbranched_alkanes_of_at_least_4_members;Number_of_urea_groups
CLEMASTINE FUMARATE;antihistaminic;3.59;343.170292;8  11  15  19;NaN;C[NH+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1;USAN, BAN;TAVIST;14976-57-9, 15686-51-8 (base);2-(2-(1-(4-chloro-phenyl)-1-phenyl-ethoxy)-ethyl)-1-methyl-pyrrolidine;404.953358;-4.72;C21H27ClNO;20.13;0.93;147.67;4.756562;-4.052943;0.14;-4.74;0.01;0.03;10.196878;355.943101;344.178117;Clemastine;Boll Chim Pharm 106:467 (1967);maleate;C(=CC(O)=O)C(O)=O;C[C@@](c1ccccc1)(c1ccc(cc1)[Cl])OCC[C@H]1CCC[N+]1C;synthetic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CLEMIZOLE;H1-antihistamine;2.94;325.134575;2   3  12  13;NaN;Clc1ccc(Cn2c(C[NH+]3CCCC3)nc3ccccc32)cc1;INN, BAN, JAN;;1163-36-6, 442-52-4(base);9-(4-chloro-benzyl)-8-((pyrrolidin-1-yl)-methyl)-7,9-diaza-bicyclo[4.3.0]nona-1,3,5,7-tetraene;375.853912;-4.56;C19H21ClN3;20.93;0.88;272.06;3.599241;-4.037984;0.33;-4.93;0.01;0.03;15.241797;322.285143;326.1424;Clemizole;Ann 575:162 (1952);chloride;[Cl-];C1CC[N+](C1)Cc1nc2ccccc2n1Cc1ccc(cc1)[Cl];"synthetic; AL-20";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CLENBUTEROL;bronchodilator, beta2 adrenergic agonist;1.88;276.079619;1   2  13  19;NaN;CC(C)(C)[NH2+]CC(O)c1cc(Cl)c(N)c(Cl)c1;INN, BAN, JAN;SPIROPENT;37148-27-9;1-(4-amino-3,5-dichloro-phenyl)-2-(1,1-dimethyl-ethylamino)-ethanol;306.375729;-5.2;C12H19Cl2N2O;12.46;0.37;56.06;1.599141;-4.059271;0.04;-5.2;0.01;0.03;46.428757;253.027794;277.087444;Planipart;"Arzneim Forsch 26:1404 (1976); Thorax, 32:717 (1977); Circulation 101:2213 (2000)";chloride;[Cl-];CC(C)(C)[N+]CC(c1cc(c(c(c1)[Cl])N)[Cl])O;"synthetic; NAB-365";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CLIDINIUM BROMIDE;anticholinergic;2.35;352.191269;6   9  11  12;NaN;C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2;USP, INN, BAN;QUARZAN;3485-62-9;;398.104506;-4.87;C22H26NO3;0.97;0.4;197.05;2.655987;-1.894836;0.05;-4.7;0.02;0.03;34.782881;368.122952;352.191269;Clidinium;Anal Profiles Drug Subs 2:145 (1973);bromide;[Br-];C[N+]12CCC(CC1)C(C2)OC(C(c1ccccc1)(c1ccccc1)O)=O;"synthetic; Ro-2-3773";0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CLONIDINE;antihypertensive;1.28;229.017353;5   6   7  15;0.500201675;Clc1cccc(Cl)c1[NH+]=C1NCCN1;USP, INN, BAN;CATAPRES;4205-91-8, 4205-90-7 [clonidine];;241.089396;-4.63;C9H10Cl2N3;13.87;0.23;238.8;1.359188;-3.11586;0.04;-4.84;0.01;0.05;29.82637;191.317475;230.025178;Clonidine;"J Pharmacol Exp Ther 227:421 (1983); Anal Profiles Drug Subs Excip 21:109 (1992)";chloride;[Cl-];C1CNC(N1)=[N+]c1c(cccc1[Cl])[Cl];"synthetic; ST-155";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLOPIDOGREL SULFATE;platelet aggregation inhibitor;NaN;321.059029;16  17  19  20;NaN;COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1;USP, INN, BAN;PLAVIX;113665-84-2;methyl 2-(2-chloro-phenyl)-2-(7-thia-3-aza-bicyclo[4.3.0]nona-1(6),8-dien-3-yl)-ethanoate;330.905654;-4.81;C16H16ClNO2S;2.59;0.11;496.11;2.750289;-5.116124;0.02;-5.15;0.01;0;25.11756;296.586033;321.059027;Clopidogrel;"Lancet 348:1329 (1996); Expert Opin Invest Drugs 4:425 (1995)";sulfate;[O-]S([O-])(=O)=O;COC([C@H](c1ccccc1[Cl])N1CCc2c(C1)ccs2)=O;"synthetic; SR-25990C";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
CLOZAPINE;antipsychotic;2.5;326.129824;3   5  17  20;152.9838287;C[NH+]1CCN(C2=[NH+]c3cc(Cl)ccc3Nc3ccccc32)CC1;USP, INN, BAN;CLOZARIL;5786-21-0;;364.017674;-4.74;C18H21ClN4;19.32;0.69;162.89;1.859931;-3.302114;0.11;-4.84;0.01;0.02;26.009005;318.144157;328.145474;Clozapine;"N Eng J Med 324:746 (1991); Anal Profiles Drug Subs Excip 22:145 (1993)";;;C[N+]1CCN(CC1)C1c2ccccc2Nc2ccc(cc2[N+]=1)[Cl];"synthetic; HF-1854";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
COLCHICINE;antimitotic, antigout agent;3.35;399.168189;4  12  15  17;NaN;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2;USP, JAN;;64-86-8;;438.358886;-5.11;C22H25NO6;5.19;0.15;7.35;2.724873;-2.549148;0.34;-4.24;0.08;0.11;68.795716;465.1892;399.168188;Colchicine;J Am Chem Soc 74: 487 (1952);;;CC(N[C@H]1CCc2cc(c(c(c2C2=CC=C(C(C=C12)=O)OC)OC)OC)OC)=O;Colchicum autumnale;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CYCLOBENZAPRINE;muscle relaxant (skeletal);3.11;275.167399;6   9  10  13;14.16242681;CN(C)CCC=C1c2ccccc2C=Cc2ccccc21;USP, INN;FLEXERIL;6202-23-9, 303-53-7 [cyclobenzaprine];;334.320601;-4.87;C20H21N;5.89;0.27;83;4.634321;-4.052856;0.2;-5.06;0;0.01;4.084167;314.930999;275.1674;Cyclobenzaprine;"Arch Int Pharmacodyn Ther 144:481 (1963); Neuropharmacology 17:445, 721 (1978);";chloride;[Cl-];CN(C)CCC=C1c2ccccc2C=Cc2ccccc12;"synthetic; MK-130";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CYCLOPHOSPHAMIDE;antineoplastic, alkylating agent;2.89;260.024822;4  11  14  18;NaN;O=P1(N(CCCl)CCCl)NCCCO1;USP, INN, BAN, JAN;CYTOXAN;6055-19-2, 50-18-0 [anhydrous];;270.642703;-4.93;C7H15Cl2N2O2P;0.75;0.15;460.62;0.496997;-2.680812;0;-4.9;0;0.04;35.332801;220.675696;260.02482;Cyclophosphamide;;Water;O;C1CNP(N(CC[Cl])CC[Cl])(=O)OC1;"synthetic; NSC-26271";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CYPROTERONE ACETATE;antiandrogen;4.63;416.175438;9  10  14  19;NaN;CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C;USP;ANDROCUR;427-51-0;;430.178291;-4.56;C24H29ClO4;2.64;0.15;89.73;4.166615;-4.994842;0.29;-4.84;0.01;0;47.509427;500.660095;416.175437;CHEMBL64990;"Arzneim Forsch 23:1550 (1973); J Steroid Biochem 19:591 (1983)";;;CC([C@]1(CCC2C3C=C(C4=CC([C@@H]5C[C@@H]5[C@]4(C)C3CC[C@]12C)=O)[Cl])OC(C)=O)=O;synthetic;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;7;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DABIGATRAN ETEXILATE MESYLATE;antithrombotic, serine protease inhibitor;NaN;627.316918;13  14  20  21;NaN;CCCCCCOC(=O)[NH+]=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1;USAN;PRADAXA;593282-20-3;;709.238636;-4.79;C34H42N7O5;4.62;0.36;761.52;4.135802;-8.34853;0.43;-4.63;0.24;0.25;117.574391;634.535762;628.324743;Dabigatran etexilate;"J Med Chem 45:1757 (2002); J Thromb Haemost 2:1573 (2004); J Clin Pharmacol 45:555 (2005)";methyl sulfonate;CS([O-])(=O)=O;CCCCCCOC([N+]=C(c1ccc(cc1)NCc1nc2cc(ccc2n1C)C(N(CCC(=O)OCC)c1ccccn1)=O)N)=O;"synthetic; BIBR-1048";0;0;0;1;0;3;0;0;0;0;3;3;0;0;0;4;2;1;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;2;0;1;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0
DANAZOL;anterior pituitary suppressant;4.84;337.204179;10  12  18  20;NaN;C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;USP, INN, BAN, JAN;DANOCRINE;17230-88-5;;371.095616;-4.82;C22H27NO2;3.86;0.23;106.71;4.459014;-6.027004;0.11;-4.71;0.01;0.02;37.885535;412.862229;337.204179;CHEMBL3039355;;;;C[C@]12CCC3C(CCC4=Cc5c(C[C@]34C)cno5)C1CC[C@]2(C#C)O;"synthetic; WIN-17757";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
DARIFENACIN HYDROBROMIDE;M3 muscarinic antagonist, bladder suppressant;2.98;426.230728;2  3  8  9;19.70538596;NC(=O)C(c1ccccc1)(c1ccccc1)C1CC[NH+](CCc2ccc3c(c2)CCO3)C1;USAN, INN, BAN;ENABLEX;133099-07-7;2-(1-(7-oxa-phenethyl)-pyrrolidin-3-yl)-2,2-diphenyl-ethanamide;488.151143;-5.15;C28H31N2O2;14.09;0.95;385.4;4.096523;-5.064586;0.31;-4.59;0.03;0.09;46.002423;447.621991;427.238553;SCHEMBL113331;;bromide;[Br-];C1C[N+](CCc2ccc3c(CCO3)c2)CC1[C@](C(N)=O)(c1ccccc1)c1ccccc1;"synthetic; UK-88525-04";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
DASATINIB;antineoplastic;2.83;487.155723;7  13  16  19;NaN;Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1;USAN, INN, JAN;SPRYCEL;863127-77-9;(6-chloro-2-methyl-phenylamino)-(2-(6-(4-(2-hydroxy-ethyl)-piperazin-1-yl)-2-methyl-pyrimidin-4-ylamino)-thiazol-5-yl)-methanone;505.558734;-5.11;C22H27ClN7O2S;7.58;0.66;511.69;2.50463;-3.797715;0.3;-5.28;0.02;0.03;83.527584;448.43448;488.163547;Dasatinib;;Water;O;Cc1cccc(c1NC(c1cnc(Nc2cc(nc(C)n2)N2CC[N+](CC2)CCO)s1)=O)[Cl];"synthetic; BMS-354825-03";0;1;1;0;0;3;0;0;0;0;1;1;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;1;0;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
DEFLAZACORT;antiinflammatory;4.23;441.215139;6   8  20  21;NaN;CC(=O)OCC(=O)C12[NH+]=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C;USAN, INN, BAN;CALCORT;14484-47-0;;467.499449;-5.02;C25H32NO6;1.56;0.18;63.62;1.490896;-3.304947;0.23;-5.18;0.12;0.07;81.33758;534.522162;442.222963;CHEMBL3182644;;;;CC1=[N+][C@]2(C(COC(C)=O)=O)[C@@H](CC3C4CCC5=CC(C=C[C@]5(C)C4[C@H](C[C@]23C)O)=O)O1;"synthetic; DL-458-IT, MDL-458";0;1;1;0;0;0;0;0;0;0;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;7;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DESVENLAFAXINE SUCCINATE;antidepressant;NaN;263.188529;12  14  19  21;NaN;C[NH+](C)CC(c1ccc(O)cc1)C1(O)CCCCC1;USAN, INN;PRISTIQ;93413-62-8;4-(2-dimethylamino-1-(1-hydroxy-cyclohexyl)-ethyl)-phenol;332.074018;-4.8;C16H26NO2;1.37;0.46;225.11;1.997606;-1.669854;0.17;-4.69;0.02;0.09;36.768953;296.870512;264.196354;Desvenlafaxine;"J Clin Psychiatry 68:677 (2007); Int Clin Psychopharmacol 22:338 (2007)";succinate;C(CC([O-])=O)C([O-])=O;C[N+](C)CC(c1ccc(cc1)O)C1(CCCCC1)O;"synthetic; WY-45233";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
DEXAMETHASONE;glucocorticoid;2.8;392.199903;11  12  14  17;NaN;CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO;USP, INN, BAN, JAN;MAXIDEX;50-02-2;;399.257406;-4.92;C22H29FO5;1.46;0.31;56.45;2.044964;-4.206015;0.3;-5.48;0.03;0.15;74.778507;463.622008;392.199902;CHEMBL378081;;;;C[C@@H]1CC2C3CCC4=CC(C=C[C@]4(C)[C@]3([C@H](C[C@]2(C)[C@]1(C(CO)=O)O)O)F)=O;semisynthetic;0;3;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEXTROMETHORPHAN HYDROBROMIDE;antitussive;2.64;271.193614;2   3   6  10;NaN;COc1ccc2c(c1)C13CCCCC1C(C2)[NH+](C)CC3;USP, INN, BAN;;6700-34-1, 125-69-9 [anhydrous], 125-71-3 [dextromethorphan];;326.378772;-4.69;C18H26NO;3.28;0.62;138.38;3.191337;-3.098393;0.03;-4.83;0.01;0.03;10.526205;312.755607;272.201439;Dextromethorphan;;bromide;[Br-];C[N+]1CC[C@]23CCCC[C@@H]3[C@@H]1Cc1ccc(cc12)OC;"synthetic; Ro-01-6794/706";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
DIACETAMATE;analgesic, antiinflammatory;2.41;193.073894;1   2  11  16;NaN;CC(=O)Nc1ccc(OC(C)=O)cc1;INN, BAN;;2623-33-8;4-acetylamino-phenyl ethanoate;219.96093;-4.75;C10H11NO3;2.3;0.11;431.74;1.133151;-2.083693;0.01;-5.38;0;0;44.251372;196.56095;193.073893;Diacetamate;;;;CC(Nc1ccc(cc1)OC(C)=O)=O;synthetic;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DICYCLOMINE;anticholinergic;3.65;309.266779;6   8  14  15;15.80156609;CC[NH+](CC)CCOC(=O)C1(C2CCCCC2)CCCCC1;USP, INN, BAN, JAN;BENTYL;67-92-5, 77-19-0 [dicyclomine];2-diethylamino-ethyl 1-cyclohexyl-cyclohexanecarboxylate;416.282182;-4.79;C19H36NO2;0.28;0.67;171.96;4.129455;-2.956622;0.27;-4.7;0.01;0.03;24.810096;376.21111;310.274604;Dicyclomine;;chloride;[Cl-];CC[N+](CC)CCOC(C1(CCCCC1)C1CCCCC1)=O;synthetic;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
DIFLORASONE DIACETATE;antiinflammatory, glucocorticoid;NaN;494.211611;12  13  19  20;NaN;CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C;USP, INN, BAN, JAN;FLORONE;33564-31-7;;493.425255;-5.11;C26H32F2O7;0.37;0;94.17;3.004436;-4.57481;0.28;-5.16;0.15;0.07;83.569157;556.590622;494.21161;Diflorasone Diacetate;;;;CC(=O)OCC([C@]1([C@@H](C)CC2C3C[C@@H](C4=CC(C=C[C@]4(C)[C@]3([C@H](C[C@]12C)O)F)=O)F)OC(C)=O)=O;"semisynthetic; U-34865";0;1;1;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;5;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DIGITOXIN;inotropic, cardiotonic;0;764.434695;6   8  11  18;NaN;CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O;USP, INN, BAN, JAN;CRYSTODIGIN;71-63-6;;823.325258;-5.74;C41H64O13;3.17;0.31;101.03;2.40439;-5.013316;0.61;-4.9;0.12;0.36;144.582911;788.468757;764.434692;CHEMBL3039345;"Chem Rev 17: 187 (1935); Anal Profiles Drug Subst 3:149 (1974); Clin Pharmacokinet 2:292 (1977); Can J Chem 68:272 (1990)";;;[H][C@@]12CCC3C(CC[C@]4(C)[C@H](CC[C@]34O)C3COC(C=3)=O)[C@@]2(C)CC[C@@H](C1)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O)O)O)O;Digitalis spp;0;5;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DIGOXIN;cardiac stimulant;0;780.42961;10  13  18  19;0.096035792;CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O;USP, INN, BAN, JAN;LANOXIN;20830-75-5;;826.207684;-5.75;C41H64O14;2.52;0.33;90.23;1.375386;-4.437406;0.79;-4.91;0.12;0.37;160.198733;796.566485;780.429607;CHEMBL3039191;"J.Chem.Soc.1930: 508; 1954: 2012";;;[H][C@@]12CCC3C(C[C@H]([C@]4(C)[C@H](CC[C@]34O)C3COC(C=3)=O)O)[C@@]2(C)CC[C@@H](C1)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O[C@H]1C[C@@H]([C@@H]([C@@H](C)O1)O)O)O)O;Digitalis lanata or D. orientalis Lam., Scrophulariaceae;0;6;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
